description,categorie,nom_francais,nom_latin
Nicheur,En danger critique,Accenteur alpin,Prunella collaris
Nicheur,En danger critique,Becassine des marais,Gallinago gallinago
Nicheur,En danger critique,Blongios nain,Ixobrichus minutus
Nicheur,En danger critique,Bruant ortolan,Emberiza hortulana
Nicheur,En danger critique,Busard Saint-Martin,Circus cyaneus
Nicheur,En danger critique,Canard chipeau,Anas strepera
Nicheur,En danger critique,Canard souchet,Anas clypeata
Nicheur,En danger critique,Cigogne noire,Ciconia nigra
Nicheur,En danger critique,Fauvette orphee,Sylvia hortensis
Nicheur,En danger critique,Fuligule morillon,Aythia fuligula
Nicheur,En danger critique,Gelinotte des bois,Bonasa bonasia
Nicheur,En danger critique,Heron pourpre,Ardea purpurea
Nicheur,En danger critique,Marouette ponctuee,Porzana porzana
Nicheur,En danger critique,Mouette rieuse,Chroicocephalus ridibundus
Nicheur,En danger critique,Rousserolle turdoïde,Acrocephalus arundinaceus
Nicheur,En danger critique,Sarcelle d'ete,Anas querquedula
Nicheur,En danger critique,Sarcelle d'hiver,Anas crecca
Nicheur,En danger,Aigle botte,Aquila pennata
Nicheur,En danger,Aigrette garzette,Egretta garzetta
Nicheur,En danger,Cassenoix mouchete,Nucifraga caryocatactes
Nicheur,En danger,Chevechette d'Europe,Glaucidium passerinum
Nicheur,En danger,Chouette de Tengmalm,Aegolius funereus
Nicheur,En danger,Courlis cendre,Numenius arquata
Nicheur,En danger,Fauvette babillarde,Sylvia curruca
Nicheur,En danger,Fuligule milouin,Aythia ferina
Nicheur,En danger,Gobemouche noir,Ficedula hypoleuca
Nicheur,En danger,Goeland leucophee,Larus michahellis
Nicheur,En danger,Mesange boreale,Poecile montanus
Nicheur,En danger,Monticole de roche,Monticola saxatilis
Nicheur,En danger,Nette rousse,Netta rufina
Nicheur,En danger,Œdicneme criard,Burhinus oedicnemus
Nicheur,En danger,Petit-duc scops,Otus scops
Nicheur,En danger,Pic cendre,Picus canus
Nicheur,En danger,Pie-grieche a tete rousse,Lanius senator
Nicheur,En danger,Pie-grieche grise,Lanius excubitor
Nicheur,En danger,Sterne naine,Sterna albifrons
Nicheur,En danger,Sterne pierregarin,Sterna hirundo
Nicheur,En danger,Tarin des aulnes,Carduelis spinus
Nicheur,En danger,Vanneau huppe,Vanellus vanellus
Nicheur,Vulnerable,Autour des palombes,Accipiter gentilis
Nicheur,Vulnerable,Becasse des bois,Scolopax rusticola
Nicheur,Vulnerable,Bihoreau gris,Nycticorax nycticorax
Nicheur,Vulnerable,Bruant des roseaux,Emberiza schoeniclus
Nicheur,Vulnerable,Bruant fou,Emberiza cia
Nicheur,Vulnerable,Bruant jaune,Emberiza citrinella
Nicheur,Vulnerable,Busard cendre,Circus pygargus
Nicheur,Vulnerable,Chevalier guignette,Actitis hypoleucos
Nicheur,Vulnerable,Chouette cheveche,Athene noctua
Nicheur,Vulnerable,Cigogne blanche,Ciconia ciconia
Nicheur,Vulnerable,Circaete Jean-le-Blanc,Circaetus gallicus
Nicheur,Vulnerable,Effraie des clochers,Tyto alba
